Index,Name,Liga,Marktwert,Land,Position,TimeL,TimeI,TimeSum,xGoalL,xGoalI,xGoalSum,Save%,Goals,Assists,Age,GCA,Team,Gelb,Rot,GoalValue
228,Daniel Gazdag,MLS,8000000,Ungarn,Sturm,1300,0,1300,"8,8",0,"8,8",0,10,0,28,2,Philadelphia,3,0,"1,2"
229,Martin Adam,K League 1,1000000,Ungarn,Sturm,521,0,521,3,0,3,0,3,0,29,0,Ulsan HD,3,0,0
230,Andriy Lunin,La Liga,16000000,Ukraine,Torwart,2640,0,2640,0,0,0,"76,66",0,0,25,0,Real Madrid,2,0,0
231,Vitaliy Mykolenko,Premier League,28000000,Ukraine,Verteidiger,2469,0,2469,"1,5",0,"1,5",0,2,0,25,3,FC Everton,0,0,"0,5"
232,Ilya Zabarnyi,Premier League,32000000,Ukraine,Verteidiger,3330,0,3330,"1,1",0,"1,1",0,1,0,21,1,Bournemouth,5,0,"-0,1"
233,Mykola Matvienko,Premier Liga,18000000,Ukraine,Verteidiger,2070,630,2700,5,"0,1","5,1",0,5,0,28,1,Shakhtar D.,7,0,"-0,1"
234,Yukhym Konoplya,Premier Liga,6000000,Ukraine,Verteidiger,1513,421,1934,"0,1","0,3","0,4",0,1,1,24,2,Shakhtar D.,8,0,"0,6"
235,Oleksandr Zinchenko,Premier League,38000000,Ukraine,Verteidiger,1722,278,2000,"0,6","0,1","0,7",0,1,2,27,6,FC Arsenal,3,0,"0,3"
236, Volodymyr Brazhko,Premier Liga,5000000,Ukraine,Mittelfeld,2028,0,2028,6,0,6,0,6,3,22,0,Dynamo Kyiv,4,0,0
237,Georgiy Sudakov,Premier Liga,35000000,Ukraine,Mittelfeld,1772,720,2492,"4,1","0,9",5,0,8,2,21,3,Shakhtar D.,7,0,3
238,Mykhaylo Mudryk,Premier League,35000000,Ukraine,Mittelfeld,1576,0,1576,"4,4",0,"4,4",0,5,2,23,9,FC Chelsea,5,0,"0,6"
239,Viktor Tsygankov,LaLiga,28000000,Ukraine,Mittelfeld,2052,0,2052,"6,2",0,"6,2",0,8,7,26,13,FC Girona,0,0,"1,8"
240,Artem Dovbyk,LaLiga,30000000,Ukraine,Sturm,2587,0,2587,"24,2",0,"24,2",0,24,8,26,13,FC Girona,2,0,"-0,2"
241,Wojciech Szczesny,Serie A,6000000,Polen,Torwart,3150,0,3150,0,0,0,"74,1",0,0,34,0,Juventus Turin,1,0,0
